size,block_size,assoc,predictor,miss_penalty,pipeline_depth,instructions,cycles,CPI,cache_stalls,cache_hitrate,branch_stalls,branch_hitrate
128,8,2,2,25,9,10000,111712,11.171,223000,0.189,3087,0.866
128,8,2,2,25,13,10000,113084,11.308,223000,0.189,4459,0.866
128,8,2,2,50,1,10000,207593,20.759,446000,0.189,343,0.866
128,8,2,2,50,5,10000,208965,20.896,446000,0.189,1715,0.866
128,8,2,2,50,9,10000,210337,21.034,446000,0.189,3087,0.866
128,8,2,2,50,13,10000,211709,21.171,446000,0.189,4459,0.866
128,8,2,2,75,1,10000,306218,30.622,669000,0.189,343,0.866
128,8,2,2,75,5,10000,307590,30.759,669000,0.189,1715,0.866
128,8,2,2,75,9,10000,308962,30.896,669000,0.189,3087,0.866
128,8,2,2,75,13,10000,310334,31.033,669000,0.189,4459,0.866
128,8,2,2,100,1,10000,404843,40.484,892000,0.189,343,0.866
128,8,2,2,100,5,10000,406215,40.621,892000,0.189,1715,0.866
128,8,2,2,100,9,10000,407587,40.759,892000,0.189,3087,0.866
128,8,2,2,100,13,10000,408959,40.896,892000,0.189,4459,0.866
128,8,4,1,25,1,10000,109172,10.917,471475,0.099,622,0.757
128,8,4,1,25,5,10000,111660,11.166,471475,0.099,3110,0.757
128,8,4,1,25,9,10000,114148,11.415,471475,0.099,5598,0.757
128,8,4,1,25,13,10000,116636,11.664,471475,0.099,8086,0.757
128,8,4,1,50,1,10000,207722,20.772,942950,0.099,622,0.757
128,8,4,1,50,5,10000,210210,21.021,942950,0.099,3110,0.757
128,8,4,1,50,9,10000,212698,21.27,942950,0.099,5598,0.757
128,8,4,1,50,13,10000,215186,21.519,942950,0.099,8086,0.757
128,8,4,1,75,1,10000,306272,30.627,1414425,0.099,622,0.757
128,8,4,1,75,5,10000,308760,30.876,1414425,0.099,3110,0.757
128,8,4,1,75,9,10000,311248,31.125,1414425,0.099,5598,0.757
128,8,4,1,75,13,10000,313736,31.374,1414425,0.099,8086,0.757
128,8,4,1,100,1,10000,404822,40.482,1885900,0.099,622,0.757
128,8,4,1,100,5,10000,407310,40.731,1885900,0.099,3110,0.757
128,8,4,1,100,9,10000,409798,40.98,1885900,0.099,5598,0.757
128,8,4,1,100,13,10000,412286,41.229,1885900,0.099,8086,0.757
128,8,4,2,25,1,10000,108893,10.889,471475,0.099,343,0.866
128,8,4,2,25,5,10000,110265,11.027,471475,0.099,1715,0.866
128,8,4,2,25,9,10000,111637,11.164,471475,0.099,3087,0.866
128,8,4,2,25,13,10000,113009,11.301,471475,0.099,4459,0.866
128,8,4,2,50,1,10000,207443,20.744,942950,0.099,343,0.866
128,8,4,2,50,5,10000,208815,20.881,942950,0.099,1715,0.866
128,8,4,2,50,9,10000,210187,21.019,942950,0.099,3087,0.866
128,8,4,2,50,13,10000,211559,21.156,942950,0.099,4459,0.866
128,8,4,2,75,1,10000,305993,30.599,1414425,0.099,343,0.866
128,8,4,2,75,5,10000,307365,30.736,1414425,0.099,1715,0.866
128,8,4,2,75,9,10000,308737,30.874,1414425,0.099,3087,0.866
128,8,4,2,75,13,10000,310109,31.011,1414425,0.099,4459,0.866
128,8,4,2,100,1,10000,404543,40.454,1885900,0.099,343,0.866
128,8,4,2,100,5,10000,405915,40.592,1885900,0.099,1715,0.866
128,8,4,2,100,9,10000,407287,40.729,1885900,0.099,3087,0.866
